visitor_type,weekend,purchase
returning,True,False
returning,True,False
returning,False,False
returning,False,False
returning,False,False
new,False,True
returning,False,False
returning,True,False
returning,False,False
returning,False,False
returning,True,False
new,False,False
returning,False,False
returning,False,False
returning,False,True
returning,False,False
returning,False,True
returning,False,False
returning,False,True
returning,True,False
returning,False,False
returning,False,False
new,False,True
returning,False,False
returning,False,True
new,True,False
returning,False,False
returning,False,False
returning,False,True
returning,False,False
returning,False,False
returning,False,True
returning,False,True
returning,False,False
returning,False,False
returning,False,False
returning,False,True
new,False,False
returning,False,True
new,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,True
returning,False,True
returning,False,False
new,True,True
new,True,True
returning,False,False
returning,False,False
returning,False,True
returning,True,False
returning,False,False
returning,False,False
returning,True,False
returning,False,False
returning,True,False
new,False,False
returning,False,False
returning,False,True
new,False,False
returning,False,False
new,False,False
returning,True,False
returning,False,False
returning,False,False
returning,False,True
returning,False,False
returning,False,False
returning,False,False
returning,True,True
returning,True,False
new,False,False
new,False,False
new,False,False
returning,False,True
returning,False,False
new,False,True
returning,False,True
returning,True,True
new,False,False
returning,True,False
new,False,False
returning,False,True
new,False,True
returning,False,False
returning,False,False
returning,False,False
returning,False,True
returning,False,True
new,False,True
returning,False,False
returning,False,False
new,False,True
returning,False,True
returning,False,False
returning,False,False
new,True,False
returning,True,True
returning,False,True
new,False,False
returning,False,False
returning,False,True
returning,False,False
new,False,False
returning,False,False
returning,False,True
returning,True,True
returning,False,False
returning,True,False
new,False,True
new,False,True
returning,False,False
returning,False,False
returning,True,True
new,False,True
returning,False,False
new,False,False
returning,False,True
new,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,True
returning,False,True
new,True,False
returning,False,False
returning,False,False
returning,False,False
returning,False,True
returning,False,True
returning,False,False
returning,True,False
returning,False,False
returning,False,False
new,False,False
returning,False,False
returning,False,True
new,False,False
returning,True,False
returning,True,False
new,False,False
new,False,False
returning,False,False
new,False,True
new,True,False
new,False,False
returning,False,False
